intro_resp.keys,intro_resp.rt,date,expName,psychopyVersion,OS,frameRate,participant,sent_resp.x,sent_resp.y,sent_resp.leftButton,sent_resp.midButton,sent_resp.rightButton,sent_resp.time,answer_click.x,answer_click.y,answer_click.leftButton,answer_click.midButton,answer_click.rightButton,answer_click.time,answer_click.clicked_name,sentence_practice_loop.thisRepN,sentence_practice_loop.thisTrialN,sentence_practice_loop.thisN,sentence_practice_loop.thisIndex,sentence_practice_loop.ran,sentence,answer,avg_read_duration,sentence_answer,sentence_response,sentences_letters_set.thisRepN,sentences_letters_set.thisTrialN,sentences_letters_set.thisN,sentences_letters_set.thisIndex,sentences_letters_set.ran,mouse_jp.x,mouse_jp.y,mouse_jp.leftButton,mouse_jp.midButton,mouse_jp.rightButton,mouse_jp.time,mouse_jp.clicked_name,letter_answers,letter_responses,curr_set_rspan_pcu,small_loop.thisRepN,small_loop.thisTrialN,small_loop.thisN,small_loop.thisIndex,small_loop.ran,rspan_score,total_correct_letters,sent_speed_error,sent_acc_error,sent_total_error,total_number_of_sentences,sent_percent_correct,rspan_pcu,exit_key.keys,exit_key.rt
space,17.0064,2023-05-15_12h37.29.173,reading_span,2022.2.5,Win32,7.501087658,065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_12h37.29.173,reading_span,2022.2.5,Win32,7.501087658,065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_12h37.29.173,reading_span,2022.2.5,Win32,7.501087658,065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_12h37.29.173,reading_span,2022.2.5,Win32,7.501087658,065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_12h37.29.173,reading_span,2022.2.5,Win32,7.501087658,065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_12h37.29.173,reading_span,2022.2.5,Win32,7.501087658,065,0.549074074,-0.221296296,1,0,0,8.7822,[],[],[],[],[],[],[],0,0,0,2,1,The prosecutor's dish was lost because it was not based on fact.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_12h37.29.173,reading_span,2022.2.5,Win32,7.501087658,065,0.55,-0.221296296,1,0,0,2.954,[],[],[],[],[],[],[],0,1,1,3,1,"During the week of final spaghetti, I felt like I was losing my mind.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_12h37.29.173,reading_span,2022.2.5,Win32,7.501087658,065,0.486111111,-0.191666667,1,0,0,3.0935,[],[],[],[],[],[],[],0,2,2,0,1,Andy was stopped by the policeman because he crossed the yellow heaven.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_12h37.29.173,reading_span,2022.2.5,Win32,7.501087658,065,0.482407407,-0.192592593,1,0,0,4.5706,[],[],[],[],[],[],[],0,3,3,4,1,"After final exams are over, we'll be able to take a well-deserved rest.",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_12h37.29.173,reading_span,2022.2.5,Win32,7.501087658,065,-0.361111111,-0.187037037,1,0,0,4.9011,[],[],[],[],[],[],[],0,4,4,5,1,"Since it was the last game, it was hard to cope with the loss.",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_12h37.29.173,reading_span,2022.2.5,Win32,7.501087658,065,-0.292592593,-0.198148148,1,0,0,11.4999,[],[],[],[],[],[],[],0,5,5,1,1,During winter you can get a room at the beach for a very low rate.,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_12h37.29.173,reading_span,2022.2.5,Win32,7.501087658,065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_12h37.29.173,reading_span,2022.2.5,Win32,7.501087658,065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-05-15_12h37.29.173,reading_span,2022.2.5,Win32,7.501087658,065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
